neighborhood,score
Mt. Oliver Boro,2971.462194763166
Troy Hill,11038.107752956636
Mount Oliver,19565.217391304348
Central North Side,27178.42323651452
Swisshelm Park,32936.8029739777
Squirrel Hill North,36062.1030345801
New Homestead,36279.54779033916
Stanton Heights,39592.52257929006
Summer Hill,43912.678421494544
Banksville,46526.697770865736
Westwood,46649.70313825276
Duquesne Heights,46748.61221252974
Morningside,47210.30042918455
Greenfield,47568.27048114434
Lincoln Place,48013.71820520149
Squirrel Hill South,48678.469018825584
North Oakland,49593.834617787965
Regent Square,54695.06292352372
Point Breeze,56760.25120059106
Windgap,57757.49674054758
Brookline,59209.726443768996
Oakwood,59451.79584120983
Chartiers City,60535.71428571428
Upper Lawrenceville,60639.070442992015
Overbrook,62954.915806626836
Terrace Village,64092.49563699826
Shadyside,64688.099100427666
East Carnegie,65737.70491803279
Highland Park,66989.72099853157
Fairywood,69432.68416596105
Beechview,71354.29561772716
Crafton Heights,73183.65287588294
Bluff,76866.85732443597
Polish Hill,82193.83921863261
South Oakland,83601.50633344745
Perry North,84248.21002386634
Brighton Heights,84961.59547230831
Mount Washington,88333.52396202677
Garfield,89056.98436712053
Friendship,89673.91304347826
Central Oakland,89814.49673651665
Mount Oliver,90468.22742474916
Central Lawrenceville,91832.46073298428
Marshall-Shadeland,91896.69087974173
Ridgemont,94267.51592356688
South Side Slopes,94326.86013528256
Troy Hill,94831.36224266316
Bloomfield,100403.73745530049
Spring Hill-City View,100977.19869706841
Lower Lawrenceville,101244.16796267497
Upper Hill,104777.07006369428
Elliott,107386.59173022881
Glen Hazel,108659.21787709498
Sheraden,109324.4194229416
Spring Garden,112023.80952380953
Central North Side,112551.86721991701
Arlington,116954.64362850972
West Oakland,117297.6121141526
Manchester,117335.39094650206
Carrick,117832.44418099191
Beltzhoover,122972.97297297299
Perry South,126927.60447321953
Hazelwood,130209.06741836976
Lincoln-Lemington-Belmar,138546.92230070636
Bon Air,139347.82608695654
Fineview,139763.77952755906
Hays,140493.82716049382
Knoxville,151233.84253819037
Point Breeze North,152540.415704388
East Liberty,152627.77677442657
Northview Heights,172362.45954692556
East Hills,176845.05071703394
Crawford-Roberts,188629.21348314607
Homewood North,195698.60575496886
Bedford Dwellings,198295.033358043
Allentown,206137.60750586394
Arlington Heights,210661.76470588235
Esplen,228155.33980582524
Middle Hill,234375.0
California-Kirkbride,234495.6413449564
Larimer,237903.71724558197
St. Clair,243333.3333333333
Allegheny Center,256130.40396881645
East Allegheny,287398.5680190931
South Side Flats,303528.2898919263
Allegheny West,318950.4373177843
Homewood South,320606.3268892795
Homewood West,327764.70588235295
Strip District,472556.89424364123
Central Business District,491206.8965517242
West End,548936.1702127659
North Shore,1818536.5853658535
South Shore,10600000.0
Chateau,98100000.0
