neighborhood,score
South Shore,0.904417172274315
Regent Square,0.8265639609396689
Squirrel Hill North,0.8232260749665077
Point Breeze,0.8046416338851458
Strip District,0.7293550916896674
Highland Park,0.7173616419140183
Squirrel Hill South,0.7115561184899777
North Shore,0.6873652968935281
Allegheny West,0.6849955364918431
Shadyside,0.6796916929636764
Swisshelm Park,0.6768687287153132
Friendship,0.6114539573315713
Stanton Heights,0.6046845422434873
North Oakland,0.5999849459488548
Greenfield,0.5968188590201933
Point Breeze North,0.5923724087536649
Banksville,0.5704851873567774
New Homestead,0.5691714401749359
Westwood,0.5640648849159534
Duquesne Heights,0.5602255798207648
South Side Flats,0.5601528981534828
West End,0.5583747952752613
Morningside,0.5559612581033954
Bloomfield,0.5247756620510375
Ridgemont,0.5190035125330003
Brookline,0.5063819059577607
Perry North,0.5020379437708669
South Side Slopes,0.5003345196327762
Mount Washington,0.49464080367880614
Central Business District,0.494142201512719
Central Northside,0.4934299080165032
Chartiers City,0.49255932676437997
Polish Hill,0.4904576423858044
Lincoln Place,0.4873885326322127
Brighton Heights,0.4772334131109508
Summer Hill,0.46751717583526403
Oakwood,0.4603825103212988
Overbrook,0.45856082212918176
Windgap,0.45673700120504296
Beechview,0.4523898386477714
Bon Air,0.44551261178992424
Upper Hill,0.4447009064936209
Carrick,0.4395999444661403
Troy Hill,0.43162047424302535
Central Lawrenceville,0.43111318747675637
East Allegheny,0.42083971383126834
Crafton Heights,0.41622225147761327
West Oakland,0.4104702001973745
East Carnegie,0.4088298971572561
Spring Garden,0.4078770506728713
Manchester,0.4071544827793315
East Liberty,0.4064768082658922
Hazelwood,0.39441065318531504
Beltzhoover,0.39295011837972793
South Oakland,0.3912022522061028
Lower Lawrenceville,0.388398600068877
Elliott,0.3762735846856035
Upper Lawrenceville,0.3739637103596897
Knoxville,0.3717682500790411
Marshall-Shadeland,0.36993840865114375
Arlington,0.36964498667714824
Fairywood,0.3661618835001395
Sheraden,0.3660565503298037
Allegheny Center,0.36407704600183804
Larimer,0.3624460280357642
Middle Hill,0.3595620279930727
Lincoln-Lemington-Belmar,0.35814372186462995
Perry South,0.35447357680702213
Spring Hill-City View,0.34299284545979636
Allentown,0.33885990892972173
Bedford Dwellings,0.336699536365547
Hays,0.33383591081577296
Mt. Oliver,0.32691545485846524
Homewood South,0.326913401753716
Fineview,0.3236237816992152
Central Oakland,0.321219197330504
Garfield,0.31130928910664196
Crawford-Roberts,0.3080198666999032
East Hills,0.3054267417382659
Homewood West,0.28530178322327066
Glen Hazel,0.2815884665733926
St. Clair,0.27285060522282856
California-Kirkbride,0.26434178289421184
Terrace Village,0.262816346645439
Homewood North,0.24239434619433475
Arlington Heights,0.20106117651261798
Esplen,0.19281855529723882
Northview Heights,0.16843219827060116
Bluff,0.13254976650641723
Chateau,
