facility_name,x,y,address
The Sewickley SpeakEasy,-80.15742,40.526244,17 Ohio River Boulevard PA 15143
Rookies' Bar,-79.9752465,40.373361,3619 Brownsville Rd PA 15227
Barnes & Noble Booksellers #2898,-79.8935985,40.488894,926 Freeport Road PA 15238
Nico's Recovery Room,-79.948935,40.463685,178 Pearl St PA 15224
Capri Pizza,-79.721334,40.627053,2103 Freeport Road PA 15065
Buon Giorno Cafe,-80.005176,40.438665,20 Stanwix Street PA 15222
Gateway Grill,-79.7560695,40.43412,4251 Northern Pike PA 15146
Burger King #11346,-80.218044,40.521906,5940 University Boulevard PA 15108
Par 2 Fun Center,-79.7551785,40.434345,4259 Northern Pike PA 15146
Fiori's Pizzaria,-80.0184465,40.405176,103 Capital Avenue PA 15226
Don's Diner,-80.0373285,40.471623,1729 Eckert St PA 15212
The Coffee Tree Roasters,-80.0495055,40.38858,299 Beverly Road PA 15216
The Rochester Inn & Hardwood,-80.050887,40.536423,505 Rochester Road PA 15237
Pittsburgh North Golf Club,-79.935432206,40.650714651,3800 Bakerstown Road PA 15007
Pitcairn / Monroeville Sportsman's Club Snack Bar,-79.7777145,40.378986,505 Mosside Blvd PA 15137
DeNunzio's,-79.7505615,40.431843,2644 Mosside Blvd PA 15146
Cole's Pub,-80.2516365,40.451229,527 U.S. Route 30 PA 15126
Acrisure Stadium / 3.09.02-03 Caliente Pizza #206,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Acrisure Stadium / 3.40.02-03 Pick 6 Sammies #233,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Jitters Cafe & Ice Cream,-79.9324245,40.451823,5541 Walnut  Street PA 15232
Regina Elena Club,-79.935309,40.494168,615 Main  Street PA 15215
Gateway Clipper / Princess,-80.0077365,40.435443,350 Station Square  Drive PA 15219
The Hartwood Restaurant & Whispers Pub,-79.918704,40.554576,3400 Harts Run Road PA 15116
Appian Way Cafe & Lounge,-80.2394505,40.509477,418 Moon Clinton Rd PA 15108
Lytle Cafe,-79.9456005,40.406796,5040 Lytle Street PA 15207
White Eagle Inn,-79.972902,40.428144,2300 E Carson St PA 15203
Bob Bets Lounge,-79.991235,40.337172,5455 Curry  Road PA 15236
Bob Evans Restaurant #187,-79.788339,40.435866,3737 William Penn Highway PA 15146
Massart's Restaurant,-79.7624415,40.59855,310 6th Avenue PA 15084
Penn Brewery,-79.9917165,40.457079,800 Vinial  Street PA 15212
Beemer's,-79.8794325,40.347873,600 5th  Avenue PA 15132
Acrisure Stadium / 2.42.02 Goal Line Stand #134,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Barnes & Noble Booksellers,-79.915833,40.40829,100 W Bridge St PA 15120
Bishop's Pizza VII,-79.928127,40.370364,428 Lebanon Rd PA 15122
Pasqualino's Pizza & Pasta,-79.819749,40.482585,13032 Frankstown  Road PA 15235
Vocelli Pizza #104,-79.944624,40.329027,691 Clairton Blvd PA 15236
My Place,-80.0214075,40.286484,4113 Brownsville Rd PA 15129
Acrisure Stadium / 2.38.02-03 Little Caesars Pizza #130,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Acrisure Stadium / 3.12.01-02 Pick 6 Sammies #209,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
O'Brien's Bar,-80.031258,40.476015,3224 Brighton  Road PA 15212
Bruegger's Bagel Bakery,-79.936182,40.450671,806 S Aiken St PA 15232
Christo's Mediterranean Grille,-80.0026785,40.443174,130 6th Street PA 15222
Billy's Roadhouse,-80.04573,40.597992,10150 Old Perry Highway PA 15090
Blue Haven Lounge,-79.820352,40.556142,492 Nixon Road PA 15024
Udipi Cafe,-79.7903958898615,40.443408423877,4141 Old Wm Penn Hwy PA 15146
Acrisure Stadium / 2.30.02 Steel City Classics #124,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Acrisure Stadium / 2.46.02-03 Goal Line Stand #138,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Legends Tavern,-79.9921305,40.407201,914 Brownsville Rd PA 15210
Frankie's Extra Long,-79.965837,40.464981,3535 Butler  Street PA 15201
Joe's Water Ice,-79.7891805,40.476519,7179 Saltsburg Rd PA 15235
South Hills Italian Club,-79.9914465,40.405554,1038 Brownsville Rd PA 15210
Smokin' Joe's Saloon,-79.9774605,40.428846,2001 Carson Street PA 15203
Dependable Drive-In Screen 2,-80.237190448,40.509368868,500 Moon Clinton  Road PA 15108
PNC Park / 02.50.01 Sweet Spot #107,-80.0059815,40.446981,115 Federal Street PA 15212
Starbucks Coffee  #754,-80.0660295,40.392396,1717 Cochran Road PA 15220
B P O E / Elks Club #883,-79.864731,40.401621,424 Library Street PA 15104
Black Beauty's Lounge,-79.9792605,40.444389,2037 Centre Avenue PA 15219
Hunan Wok,-79.871805,40.365018,1822 Homeville Road PA 15122
PNC Park / 05.49.01 North Shore Refreshments Co. #307,-80.0059815,40.446981,115 Federal Street PA 15212
Jack's Rose Bar,-79.9867845,40.428945,1117 Carson Street PA 15203
Paradise Island Bowl & Beach,-80.1496215,40.516677,7601 Grand Avenue PA 15225
Ya Fei,-80.169174,40.454235,1980 Park Manor Blvd PA 15205
PNC Park / 02.44.01-02 Faves on First #114,-80.0059815,40.446981,115 Federal Street PA 15212
