neighborhood,food_score,safety_score,education_score
Central Business District,175,491206.8965517242,0.494142201512719
South Side Flats,102,303528.2898919263,0.5601528981534828
North Shore,83,1818536.5853658535,0.6873652968935281
North Oakland,76,49593.834617787965,0.5999849459488548
Central Oakland,68,89814.49673651665,0.321219197330504
Shadyside,67,64688.099100427666,0.6796916929636764
Strip District,66,472556.8942436412,0.7293550916896674
Bloomfield,66,100403.73745530048,0.5247756620510375
Squirrel Hill South,62,48678.469018825584,0.7115561184899777
Central Lawrenceville,55,91832.46073298428,0.4311131874767563
East Liberty,35,152627.77677442657,0.4064768082658922
Squirrel Hill North,32,36062.1030345801,0.8232260749665077
Carrick,32,117832.44418099192,0.4395999444661403
Lower Lawrenceville,29,101244.16796267495,0.388398600068877
Mount Washington,24,88333.52396202677,0.4946408036788061
Chateau,23,98100000.0,
Brookline,23,59209.726443768996,0.5063819059577607
South Shore,22,10600000.0,0.904417172274315
East Allegheny,22,287398.5680190931,0.4208397138312683
Bluff,19,76866.85732443597,0.1325497665064172
Lincoln-Lemington-Belmar,16,138546.92230070636,0.3581437218646299
Larimer,16,237903.71724558197,0.3624460280357642
Crawford-Roberts,15,188629.21348314607,0.3080198666999032
Upper Lawrenceville,15,60639.070442992015,0.3739637103596897
Greenfield,15,47568.27048114434,0.5968188590201933
Allegheny West,15,318950.4373177843,0.6849955364918431
Beechview,13,71354.29561772716,0.4523898386477714
Garfield,10,89056.98436712053,0.3113092891066419
Marshall-Shadeland,9,91896.69087974173,0.3699384086511437
Allegheny Center,9,256130.40396881645,0.364077046001838
Troy Hill,9,11038.107752956636,0.4316204742430253
Troy Hill,9,94831.36224266316,0.4316204742430253
Banksville,8,46526.697770865736,0.5704851873567774
Highland Park,8,66989.72099853157,0.7173616419140183
Hazelwood,8,130209.06741836976,0.394410653185315
Allentown,8,206137.6075058639,0.3388599089297217
Middle Hill,8,234375.0,0.3595620279930727
Homewood South,8,320606.3268892795,0.326913401753716
Point Breeze,7,56760.25120059106,0.8046416338851458
Oakwood,7,59451.79584120983,0.4603825103212988
West Oakland,6,117297.6121141526,0.4104702001973745
Lincoln Place,5,48013.71820520149,0.4873885326322127
Westwood,4,46649.70313825276,0.5640648849159534
Morningside,4,47210.30042918455,0.5559612581033954
Arlington,4,116954.64362850972,0.3696449866771482
South Side Slopes,4,94326.86013528256,0.5003345196327762
Homewood West,4,327764.70588235295,0.2853017832232706
Polish Hill,4,82193.83921863261,0.4904576423858044
Brighton Heights,4,84961.59547230831,0.4772334131109508
West End,4,548936.1702127659,0.5583747952752613
Crafton Heights,3,73183.65287588294,0.4162222514776132
East Hills,3,176845.05071703394,0.3054267417382659
Spring Garden,3,112023.80952380953,0.4078770506728713
Elliott,3,107386.5917302288,0.3762735846856035
Friendship,3,89673.91304347826,0.6114539573315713
Homewood North,3,195698.60575496888,0.2423943461943347
Point Breeze North,3,152540.415704388,0.5923724087536649
Overbrook,3,62954.915806626836,0.4585608221291817
Regent Square,2,54695.06292352372,0.8265639609396689
Perry South,2,126927.60447321952,0.3544735768070221
Perry North,2,84248.21002386634,0.5020379437708669
Duquesne Heights,2,46748.61221252974,0.5602255798207648
Manchester,2,117335.39094650206,0.4071544827793315
Terrace Village,2,64092.49563699826,0.262816346645439
California-Kirkbride,1,234495.6413449564,0.2643417828942118
Sheraden,1,109324.4194229416,0.3660565503298037
Knoxville,1,151233.84253819037,0.3717682500790411
South Oakland,1,83601.50633344745,0.3912022522061028
